county,precinct,office,district,party,candidate,votes
Washington,Boston,Governor,,DEM,Leticia Sanders,3
Washington,Brush Creek,Governor,,DEM,Leticia Sanders,8
Washington,Cane Hill,Governor,,DEM,Leticia Sanders,6
Washington,Center,Governor,,DEM,Leticia Sanders,5
Washington,Center-2,Governor,,DEM,Leticia Sanders,1
Washington,Center House,Governor,,DEM,Leticia Sanders,2
Washington,Cove Creek,Governor,,DEM,Leticia Sanders,10
Washington,Cove Creek-S,Governor,,DEM,Leticia Sanders,0
Washington,Crawford,Governor,,DEM,Leticia Sanders,5
Washington,Durham,Governor,,DEM,Leticia Sanders,9
Washington,Dutch Mills,Governor,,DEM,Leticia Sanders,1
Washington,Elkins,Governor,,DEM,Leticia Sanders,22
Washington,Elkins-H,Governor,,DEM,Leticia Sanders,1
Washington,Elm Springs Twp,Governor,,DEM,Leticia Sanders,1
Washington,Elm Springs City,Governor,,DEM,Leticia Sanders,7
Washington,Farmington-1,Governor,,DEM,Leticia Sanders,9
Washington,Farmington-S,Governor,,DEM,Leticia Sanders,1
Washington,Farmington-2,Governor,,DEM,Leticia Sanders,26
Washington,Fay 01,Governor,,DEM,Leticia Sanders,17
Washington,Fay 02,Governor,,DEM,Leticia Sanders,40
Washington,Fay 03,Governor,,DEM,Leticia Sanders,92
Washington,Fay 04,Governor,,DEM,Leticia Sanders,51
Washington,Fay 05,Governor,,DEM,Leticia Sanders,109
Washington,Fay 06,Governor,,DEM,Leticia Sanders,73
Washington,Fay 07,Governor,,DEM,Leticia Sanders,55
Washington,Fay 08,Governor,,DEM,Leticia Sanders,87
Washington,Fay 09,Governor,,DEM,Leticia Sanders,76
Washington,Fay 10,Governor,,DEM,Leticia Sanders,31
Washington,Fay 11,Governor,,DEM,Leticia Sanders,41
Washington,Fay 12,Governor,,DEM,Leticia Sanders,59
Washington,Fay 13,Governor,,DEM,Leticia Sanders,46
Washington,Fay 14,Governor,,DEM,Leticia Sanders,14
Washington,Fay 15,Governor,,DEM,Leticia Sanders,15
Washington,Fay 16,Governor,,DEM,Leticia Sanders,1
Washington,Fay 17,Governor,,DEM,Leticia Sanders,55
Washington,Fay 18,Governor,,DEM,Leticia Sanders,56
Washington,Fay 19,Governor,,DEM,Leticia Sanders,80
Washington,Fay 20,Governor,,DEM,Leticia Sanders,23
Washington,Fay 21,Governor,,DEM,Leticia Sanders,22
Washington,Fay 22,Governor,,DEM,Leticia Sanders,55
Washington,Fay 23,Governor,,DEM,Leticia Sanders,47
Washington,Fay 24,Governor,,DEM,Leticia Sanders,29
Washington,Fay 25,Governor,,DEM,Leticia Sanders,83
Washington,Fay 26,Governor,,DEM,Leticia Sanders,22
Washington,Fay 27,Governor,,DEM,Leticia Sanders,36
Washington,Fay 28,Governor,,DEM,Leticia Sanders,17
Washington,Fay 29,Governor,,DEM,Leticia Sanders,22
Washington,Fay 30,Governor,,DEM,Leticia Sanders,26
Washington,Fay 31,Governor,,DEM,Leticia Sanders,55
Washington,Fay 32,Governor,,DEM,Leticia Sanders,11
Washington,Fay 33,Governor,,DEM,Leticia Sanders,3
Washington,Fay 34,Governor,,DEM,Leticia Sanders,41
Washington,Fay 35,Governor,,DEM,Leticia Sanders,29
Washington,Fay 36,Governor,,DEM,Leticia Sanders,36
Washington,Fay 37,Governor,,DEM,Leticia Sanders,1
Washington,Fay 38,Governor,,DEM,Leticia Sanders,5
Washington,Fay 39,Governor,,DEM,Leticia Sanders,1
Washington,Fay 40,Governor,,DEM,Leticia Sanders,47
Washington,Fay 41,Governor,,DEM,Leticia Sanders,4
Washington,Fay 42,Governor,,DEM,Leticia Sanders,22
Washington,Fay 43,Governor,,DEM,Leticia Sanders,2
Washington,Fay 44,Governor,,DEM,Leticia Sanders,7
Washington,Fay 45,Governor,,DEM,Leticia Sanders,1
Washington,Fay 46,Governor,,DEM,Leticia Sanders,5
Washington,Fay 47,Governor,,DEM,Leticia Sanders,0
Washington,Fay 48,Governor,,DEM,Leticia Sanders,0
Washington,Greenland City,Governor,,DEM,Leticia Sanders,25
Washington,Greenland Twp,Governor,,DEM,Leticia Sanders,10
Washington,Goshen City,Governor,,DEM,Leticia Sanders,21
Washington,Goshen Twp,Governor,,DEM,Leticia Sanders,14
