county,precinct,office,district,party,candidate,votes
Arkansas,MCFALL,U.S. President,Vice President,Lib,Jo Jorgensen/Jeremy 'Spike' Cohen,0
Arkansas,CROCKETT,U.S. President,Vice President,Lib,Jo Jorgensen/Jeremy 'Spike' Cohen,0
Arkansas,KEATON,U.S. President,Vice President,Lib,Jo Jorgensen/Jeremy 'Spike' Cohen,2
Arkansas,MILL BAYOU,U.S. President,Vice President,Lib,Jo Jorgensen/Jeremy 'Spike' Cohen,1
Arkansas,ALMYRA,U.S. President,Vice President,Lib,Jo Jorgensen/Jeremy 'Spike' Cohen,2
Arkansas,PRAIRIE,U.S. President,Vice President,Lib,Jo Jorgensen/Jeremy 'Spike' Cohen,0
Arkansas,LAGRUE,U.S. President,Vice President,Lib,Jo Jorgensen/Jeremy 'Spike' Cohen,4
Arkansas,ST. CHARLES,U.S. President,Vice President,Lib,Jo Jorgensen/Jeremy 'Spike' Cohen,0
Arkansas,CHESTER,U.S. President,Vice President,Lib,Jo Jorgensen/Jeremy 'Spike' Cohen,1
Arkansas,ARKANSAS,U.S. President,Vice President,Lib,Jo Jorgensen/Jeremy 'Spike' Cohen,0
Arkansas,STANLEY,U.S. President,Vice President,Lib,Jo Jorgensen/Jeremy 'Spike' Cohen,0
Arkansas,GILLETT WARD 1,U.S. President,Vice President,Lib,Jo Jorgensen/Jeremy 'Spike' Cohen,0
Arkansas,GILLETT WARD 2,U.S. President,Vice President,Lib,Jo Jorgensen/Jeremy 'Spike' Cohen,1
Arkansas,GILLETT WARD 3,U.S. President,Vice President,Lib,Jo Jorgensen/Jeremy 'Spike' Cohen,1
Arkansas,PT DELUCE,U.S. President,Vice President,Lib,Jo Jorgensen/Jeremy 'Spike' Cohen,0
Arkansas,BAYOU METO,U.S. President,Vice President,Lib,Jo Jorgensen/Jeremy 'Spike' Cohen,1
Arkansas,MORRIS,U.S. President,Vice President,Lib,Jo Jorgensen/Jeremy 'Spike' Cohen,0
Arkansas,GUM POND,U.S. President,Vice President,Lib,Jo Jorgensen/Jeremy 'Spike' Cohen,1
Arkansas,BARTON,U.S. President,Vice President,Lib,Jo Jorgensen/Jeremy 'Spike' Cohen,1
Arkansas,HENTON,U.S. President,Vice President,Lib,Jo Jorgensen/Jeremy 'Spike' Cohen,1
Arkansas,BREWER,U.S. President,Vice President,Lib,Jo Jorgensen/Jeremy 'Spike' Cohen,1
Arkansas,GARLAND,U.S. President,Vice President,Lib,Jo Jorgensen/Jeremy 'Spike' Cohen,0
Arkansas,HUMPHREY WARD 1,U.S. President,Vice President,Lib,Jo Jorgensen/Jeremy 'Spike' Cohen,1
Arkansas,HUMPHREY WARD 3,U.S. President,Vice President,Lib,Jo Jorgensen/Jeremy 'Spike' Cohen,0
Arkansas,DEWITT WARD 1,U.S. President,Vice President,Lib,Jo Jorgensen/Jeremy 'Spike' Cohen,2
Arkansas,DEWITT WARD 2,U.S. President,Vice President,Lib,Jo Jorgensen/Jeremy 'Spike' Cohen,2
Arkansas,DEWITT WARD 3,U.S. President,Vice President,Lib,Jo Jorgensen/Jeremy 'Spike' Cohen,1
Arkansas,STUTTGART WARD 1,U.S. President,Vice President,Lib,Jo Jorgensen/Jeremy 'Spike' Cohen,3
Arkansas,STUTTGART WARD 2,U.S. President,Vice President,Lib,Jo Jorgensen/Jeremy 'Spike' Cohen,7
Arkansas,STUTTGART WARD 3,U.S. President,Vice President,Lib,Jo Jorgensen/Jeremy 'Spike' Cohen,13
Arkansas,MCFALL,U.S. President,Vice President,Ind,Kanye West/Michelle Tidball,1
Arkansas,CROCKETT,U.S. President,Vice President,Ind,Kanye West/Michelle Tidball,0
Arkansas,KEATON,U.S. President,Vice President,Ind,Kanye West/Michelle Tidball,0
Arkansas,MILL BAYOU,U.S. President,Vice President,Ind,Kanye West/Michelle Tidball,1
Arkansas,ALMYRA,U.S. President,Vice President,Ind,Kanye West/Michelle Tidball,0
Arkansas,PRAIRIE,U.S. President,Vice President,Ind,Kanye West/Michelle Tidball,1
Arkansas,LAGRUE,U.S. President,Vice President,Ind,Kanye West/Michelle Tidball,0
Arkansas,ST. CHARLES,U.S. President,Vice President,Ind,Kanye West/Michelle Tidball,0
Arkansas,CHESTER,U.S. President,Vice President,Ind,Kanye West/Michelle Tidball,0
Arkansas,ARKANSAS,U.S. President,Vice President,Ind,Kanye West/Michelle Tidball,0
Arkansas,STANLEY,U.S. President,Vice President,Ind,Kanye West/Michelle Tidball,0
Arkansas,GILLETT WARD 1,U.S. President,Vice President,Ind,Kanye West/Michelle Tidball,0
Arkansas,GILLETT WARD 2,U.S. President,Vice President,Ind,Kanye West/Michelle Tidball,0
Arkansas,GILLETT WARD 3,U.S. President,Vice President,Ind,Kanye West/Michelle Tidball,1
Arkansas,PT DELUCE,U.S. President,Vice President,Ind,Kanye West/Michelle Tidball,0
Arkansas,BAYOU METO,U.S. President,Vice President,Ind,Kanye West/Michelle Tidball,0
Arkansas,MORRIS,U.S. President,Vice President,Ind,Kanye West/Michelle Tidball,0
Arkansas,GUM POND,U.S. President,Vice President,Ind,Kanye West/Michelle Tidball,0
Arkansas,BARTON,U.S. President,Vice President,Ind,Kanye West/Michelle Tidball,0
Arkansas,HENTON,U.S. President,Vice President,Ind,Kanye West/Michelle Tidball,0
Arkansas,BREWER,U.S. President,Vice President,Ind,Kanye West/Michelle Tidball,0
Arkansas,GARLAND,U.S. President,Vice President,Ind,Kanye West/Michelle Tidball,0
Arkansas,HUMPHREY WARD 1,U.S. President,Vice President,Ind,Kanye West/Michelle Tidball,1
Arkansas,HUMPHREY WARD 3,U.S. President,Vice President,Ind,Kanye West/Michelle Tidball,0
Arkansas,DEWITT WARD 1,U.S. President,Vice President,Ind,Kanye West/Michelle Tidball,2
Arkansas,DEWITT WARD 2,U.S. President,Vice President,Ind,Kanye West/Michelle Tidball,0
Arkansas,DEWITT WARD 3,U.S. President,Vice President,Ind,Kanye West/Michelle Tidball,2
Arkansas,STUTTGART WARD 1,U.S. President,Vice President,Ind,Kanye West/Michelle Tidball,4
Arkansas,STUTTGART WARD 2,U.S. President,Vice President,Ind,Kanye West/Michelle Tidball,6
Arkansas,STUTTGART WARD 3,U.S. President,Vice President,Ind,Kanye West/Michelle Tidball,0
Arkansas,MCFALL,U.S. President,Vice President,Grn,Howie Hawkins/Angela Walker,0
Arkansas,CROCKETT,U.S. President,Vice President,Grn,Howie Hawkins/Angela Walker,0
Arkansas,KEATON,U.S. President,Vice President,Grn,Howie Hawkins/Angela Walker,0
Arkansas,MILL BAYOU,U.S. President,Vice President,Grn,Howie Hawkins/Angela Walker,0
Arkansas,ALMYRA,U.S. President,Vice President,Grn,Howie Hawkins/Angela Walker,0
Arkansas,PRAIRIE,U.S. President,Vice President,Grn,Howie Hawkins/Angela Walker,0
Arkansas,LAGRUE,U.S. President,Vice President,Grn,Howie Hawkins/Angela Walker,0
Arkansas,ST. CHARLES,U.S. President,Vice President,Grn,Howie Hawkins/Angela Walker,0
Arkansas,CHESTER,U.S. President,Vice President,Grn,Howie Hawkins/Angela Walker,0
Arkansas,ARKANSAS,U.S. President,Vice President,Grn,Howie Hawkins/Angela Walker,0
Arkansas,STANLEY,U.S. President,Vice President,Grn,Howie Hawkins/Angela Walker,0
Arkansas,GILLETT WARD 1,U.S. President,Vice President,Grn,Howie Hawkins/Angela Walker,0
Arkansas,GILLETT WARD 2,U.S. President,Vice President,Grn,Howie Hawkins/Angela Walker,0
Arkansas,GILLETT WARD 3,U.S. President,Vice President,Grn,Howie Hawkins/Angela Walker,0
Arkansas,PT DELUCE,U.S. President,Vice President,Grn,Howie Hawkins/Angela Walker,1
Arkansas,BAYOU METO,U.S. President,Vice President,Grn,Howie Hawkins/Angela Walker,1
Arkansas,MORRIS,U.S. President,Vice President,Grn,Howie Hawkins/Angela Walker,0
Arkansas,GUM POND,U.S. President,Vice President,Grn,Howie Hawkins/Angela Walker,0
Arkansas,BARTON,U.S. President,Vice President,Grn,Howie Hawkins/Angela Walker,0
Arkansas,HENTON,U.S. President,Vice President,Grn,Howie Hawkins/Angela Walker,0
Arkansas,BREWER,U.S. President,Vice President,Grn,Howie Hawkins/Angela Walker,0
Arkansas,GARLAND,U.S. President,Vice President,Grn,Howie Hawkins/Angela Walker,0
Arkansas,HUMPHREY WARD 1,U.S. President,Vice President,Grn,Howie Hawkins/Angela Walker,0
Arkansas,HUMPHREY WARD 3,U.S. President,Vice President,Grn,Howie Hawkins/Angela Walker,0
Arkansas,DEWITT WARD 1,U.S. President,Vice President,Grn,Howie Hawkins/Angela Walker,0
Arkansas,DEWITT WARD 2,U.S. President,Vice President,Grn,Howie Hawkins/Angela Walker,1
Arkansas,DEWITT WARD 3,U.S. President,Vice President,Grn,Howie Hawkins/Angela Walker,1
Arkansas,STUTTGART WARD 1,U.S. President,Vice President,Grn,Howie Hawkins/Angela Walker,4
Arkansas,STUTTGART WARD 2,U.S. President,Vice President,Grn,Howie Hawkins/Angela Walker,4
Arkansas,STUTTGART WARD 3,U.S. President,Vice President,Grn,Howie Hawkins/Angela Walker,4
Arkansas,MCFALL,U.S. President,Vice President,Cns,Don Blankenship/William Mohr,0
Arkansas,CROCKETT,U.S. President,Vice President,Cns,Don Blankenship/William Mohr,0
Arkansas,KEATON,U.S. President,Vice President,Cns,Don Blankenship/William Mohr,1
Arkansas,MILL BAYOU,U.S. President,Vice President,Cns,Don Blankenship/William Mohr,0
Arkansas,ALMYRA,U.S. President,Vice President,Cns,Don Blankenship/William Mohr,0
Arkansas,PRAIRIE,U.S. President,Vice President,Cns,Don Blankenship/William Mohr,1
Arkansas,LAGRUE,U.S. President,Vice President,Cns,Don Blankenship/William Mohr,0
Arkansas,ST. CHARLES,U.S. President,Vice President,Cns,Don Blankenship/William Mohr,0
Arkansas,CHESTER,U.S. President,Vice President,Cns,Don Blankenship/William Mohr,0
Arkansas,ARKANSAS,U.S. President,Vice President,Cns,Don Blankenship/William Mohr,0
Arkansas,STANLEY,U.S. President,Vice President,Cns,Don Blankenship/William Mohr,0
Arkansas,GILLETT WARD 1,U.S. President,Vice President,Cns,Don Blankenship/William Mohr,1
Arkansas,GILLETT WARD 2,U.S. President,Vice President,Cns,Don Blankenship/William Mohr,0
Arkansas,GILLETT WARD 3,U.S. President,Vice President,Cns,Don Blankenship/William Mohr,0
Arkansas,PT DELUCE,U.S. President,Vice President,Cns,Don Blankenship/William Mohr,0
Arkansas,BAYOU METO,U.S. President,Vice President,Cns,Don Blankenship/William Mohr,0
Arkansas,MORRIS,U.S. President,Vice President,Cns,Don Blankenship/William Mohr,0
Arkansas,GUM POND,U.S. President,Vice President,Cns,Don Blankenship/William Mohr,0
Arkansas,BARTON,U.S. President,Vice President,Cns,Don Blankenship/William Mohr,0
Arkansas,HENTON,U.S. President,Vice President,Cns,Don Blankenship/William Mohr,0
Arkansas,BREWER,U.S. President,Vice President,Cns,Don Blankenship/William Mohr,0
Arkansas,GARLAND,U.S. President,Vice President,Cns,Don Blankenship/William Mohr,0
Arkansas,HUMPHREY WARD 1,U.S. President,Vice President,Cns,Don Blankenship/William Mohr,0
Arkansas,HUMPHREY WARD 3,U.S. President,Vice President,Cns,Don Blankenship/William Mohr,0
Arkansas,DEWITT WARD 1,U.S. President,Vice President,Cns,Don Blankenship/William Mohr,0
Arkansas,DEWITT WARD 2,U.S. President,Vice President,Cns,Don Blankenship/William Mohr,1
Arkansas,DEWITT WARD 3,U.S. President,Vice President,Cns,Don Blankenship/William Mohr,0
Arkansas,STUTTGART WARD 1,U.S. President,Vice President,Cns,Don Blankenship/William Mohr,2
Arkansas,STUTTGART WARD 2,U.S. President,Vice President,Cns,Don Blankenship/William Mohr,3
Arkansas,STUTTGART WARD 3,U.S. President,Vice President,Cns,Don Blankenship/William Mohr,0
Arkansas,MCFALL,U.S. President,Vice President,Lif,John Richard Myers/Tiara Suzanne Lusk,0
Arkansas,CROCKETT,U.S. President,Vice President,Lif,John Richard Myers/Tiara Suzanne Lusk,0
Arkansas,KEATON,U.S. President,Vice President,Lif,John Richard Myers/Tiara Suzanne Lusk,0
Arkansas,MILL BAYOU,U.S. President,Vice President,Lif,John Richard Myers/Tiara Suzanne Lusk,0
Arkansas,ALMYRA,U.S. President,Vice President,Lif,John Richard Myers/Tiara Suzanne Lusk,0
Arkansas,PRAIRIE,U.S. President,Vice President,Lif,John Richard Myers/Tiara Suzanne Lusk,0
Arkansas,LAGRUE,U.S. President,Vice President,Lif,John Richard Myers/Tiara Suzanne Lusk,0
Arkansas,ST. CHARLES,U.S. President,Vice President,Lif,John Richard Myers/Tiara Suzanne Lusk,0
Arkansas,CHESTER,U.S. President,Vice President,Lif,John Richard Myers/Tiara Suzanne Lusk,0
Arkansas,ARKANSAS,U.S. President,Vice President,Lif,John Richard Myers/Tiara Suzanne Lusk,0
Arkansas,STANLEY,U.S. President,Vice President,Lif,John Richard Myers/Tiara Suzanne Lusk,0
Arkansas,GILLETT WARD 1,U.S. President,Vice President,Lif,John Richard Myers/Tiara Suzanne Lusk,0
Arkansas,GILLETT WARD 2,U.S. President,Vice President,Lif,John Richard Myers/Tiara Suzanne Lusk,0
Arkansas,GILLETT WARD 3,U.S. President,Vice President,Lif,John Richard Myers/Tiara Suzanne Lusk,0
Arkansas,PT DELUCE,U.S. President,Vice President,Lif,John Richard Myers/Tiara Suzanne Lusk,0
Arkansas,BAYOU METO,U.S. President,Vice President,Lif,John Richard Myers/Tiara Suzanne Lusk,0
Arkansas,MORRIS,U.S. President,Vice President,Lif,John Richard Myers/Tiara Suzanne Lusk,0
Arkansas,GUM POND,U.S. President,Vice President,Lif,John Richard Myers/Tiara Suzanne Lusk,1
Arkansas,BARTON,U.S. President,Vice President,Lif,John Richard Myers/Tiara Suzanne Lusk,0
Arkansas,HENTON,U.S. President,Vice President,Lif,John Richard Myers/Tiara Suzanne Lusk,0
Arkansas,BREWER,U.S. President,Vice President,Lif,John Richard Myers/Tiara Suzanne Lusk,0
Arkansas,GARLAND,U.S. President,Vice President,Lif,John Richard Myers/Tiara Suzanne Lusk,0
Arkansas,HUMPHREY WARD 1,U.S. President,Vice President,Lif,John Richard Myers/Tiara Suzanne Lusk,0
Arkansas,HUMPHREY WARD 3,U.S. President,Vice President,Lif,John Richard Myers/Tiara Suzanne Lusk,0
Arkansas,DEWITT WARD 1,U.S. President,Vice President,Lif,John Richard Myers/Tiara Suzanne Lusk,0
Arkansas,DEWITT WARD 2,U.S. President,Vice President,Lif,John Richard Myers/Tiara Suzanne Lusk,0
Arkansas,DEWITT WARD 3,U.S. President,Vice President,Lif,John Richard Myers/Tiara Suzanne Lusk,0
Arkansas,STUTTGART WARD 1,U.S. President,Vice President,Lif,John Richard Myers/Tiara Suzanne Lusk,2
Arkansas,STUTTGART WARD 2,U.S. President,Vice President,Lif,John Richard Myers/Tiara Suzanne Lusk,1
