county,precinct,office,district,party,candidate,votes
White,Albion,U.S. President,Vice President,DEM,Joseph R. Biden/Kamala Harris,20
White,Antioch,U.S. President,Vice President,DEM,Joseph R. Biden/Kamala Harris,61
White,Bald Knob Ward 1,U.S. President,Vice President,DEM,Joseph R. Biden/Kamala Harris,89
White,Bald Knob Ward 2,U.S. President,Vice President,DEM,Joseph R. Biden/Kamala Harris,44
White,Bald Knob Ward 3,U.S. President,Vice President,DEM,Joseph R. Biden/Kamala Harris,55
White,Bald Knob TWP,U.S. President,Vice President,DEM,Joseph R. Biden/Kamala Harris,54
White,Beebe Ward 1,U.S. President,Vice President,DEM,Joseph R. Biden/Kamala Harris,202
White,Beebe Ward 2,U.S. President,Vice President,DEM,Joseph R. Biden/Kamala Harris,131
White,Beebe Ward 3,U.S. President,Vice President,DEM,Joseph R. Biden/Kamala Harris,175
White,Big Creek,U.S. President,Vice President,DEM,Joseph R. Biden/Kamala Harris,60
White,Bradford Ward 1,U.S. President,Vice President,DEM,Joseph R. Biden/Kamala Harris,7
White,Bradford Ward 2,U.S. President,Vice President,DEM,Joseph R. Biden/Kamala Harris,11
White,Bradford Ward 3,U.S. President,Vice President,DEM,Joseph R. Biden/Kamala Harris,23
White,Cadron,U.S. President,Vice President,DEM,Joseph R. Biden/Kamala Harris,19
White,Cane,U.S. President,Vice President,DEM,Joseph R. Biden/Kamala Harris,91
White,Chrisp,U.S. President,Vice President,DEM,Joseph R. Biden/Kamala Harris,104
White,Clay,U.S. President,Vice President,DEM,Joseph R. Biden/Kamala Harris,39
White,Cleveland,U.S. President,Vice President,DEM,Joseph R. Biden/Kamala Harris,5
White,Coffey,U.S. President,Vice President,DEM,Joseph R. Biden/Kamala Harris,98
White,Coldwell,U.S. President,Vice President,DEM,Joseph R. Biden/Kamala Harris,10
White,Crosby,U.S. President,Vice President,DEM,Joseph R. Biden/Kamala Harris,47
White,Cypert,U.S. President,Vice President,DEM,Joseph R. Biden/Kamala Harris,7
White,Denmark,U.S. President,Vice President,DEM,Joseph R. Biden/Kamala Harris,28
White,Des Arc,U.S. President,Vice President,DEM,Joseph R. Biden/Kamala Harris,61
White,Dogwood TWP,U.S. President,Vice President,DEM,Joseph R. Biden/Kamala Harris,12
White,El Paso,U.S. President,Vice President,DEM,Joseph R. Biden/Kamala Harris,69
White,Francure,U.S. President,Vice President,DEM,Joseph R. Biden/Kamala Harris,6
White,Garner TWP,U.S. President,Vice President,DEM,Joseph R. Biden/Kamala Harris,20
White,Garner City,U.S. President,Vice President,DEM,Joseph R. Biden/Kamala Harris,4
White,Gravel Hill,U.S. President,Vice President,DEM,Joseph R. Biden/Kamala Harris,18
White,Gray A,U.S. President,Vice President,DEM,Joseph R. Biden/Kamala Harris,102
White,Gray B,U.S. President,Vice President,DEM,Joseph R. Biden/Kamala Harris,287
White,Griffithville City,U.S. President,Vice President,DEM,Joseph R. Biden/Kamala Harris,11
White,Gum Springs,U.S. President,Vice President,DEM,Joseph R. Biden/Kamala Harris,108
White,Guthrie,U.S. President,Vice President,DEM,Joseph R. Biden/Kamala Harris,30
White,Harrison,U.S. President,Vice President,DEM,Joseph R. Biden/Kamala Harris,146
White,Hartsell,U.S. President,Vice President,DEM,Joseph R. Biden/Kamala Harris,24
White,Higginson TWP,U.S. President,Vice President,DEM,Joseph R. Biden/Kamala Harris,40
White,Higginson Ward 1,U.S. President,Vice President,DEM,Joseph R. Biden/Kamala Harris,17
White,Jackson,U.S. President,Vice President,DEM,Joseph R. Biden/Kamala Harris,13
White,Jefferson,U.S. President,Vice President,DEM,Joseph R. Biden/Kamala Harris,27
White,Joy,U.S. President,Vice President,DEM,Joseph R. Biden/Kamala Harris,34
White,Judsonia Ward 1,U.S. President,Vice President,DEM,Joseph R. Biden/Kamala Harris,53
