county,precinct,office,district,party,candidate,votes,early_vote,absentee,election_day
Drew,Ward 1,U.S. Senate,,REP,Senator John Boozman,270,175,3,92
Drew,Ward 2,U.S. Senate,,REP,Senator John Boozman,467,297,13,157
Drew,Ward 3,U.S. Senate,,REP,Senator John Boozman,240,141,9,90
Drew,Ward 4,U.S. Senate,,REP,Senator John Boozman,288,203,13,72
Drew,Collins,U.S. Senate,,REP,Senator John Boozman,62,41,3,18
Drew,Enon,U.S. Senate,,REP,Senator John Boozman,106,69,8,29
Drew,Jerome,U.S. Senate,,REP,Senator John Boozman,9,6,0,3
Drew,Lacey,U.S. Senate,,REP,Senator John Boozman,184,115,1,68
Drew,Mar N Box 1,U.S. Senate,,REP,Senator John Boozman,482,328,7,147
Drew,Mar N Box 2,U.S. Senate,,REP,Senator John Boozman,270,159,2,109
Drew,Marion South,U.S. Senate,,REP,Senator John Boozman,394,201,1,192
Drew,Ozment,U.S. Senate,,REP,Senator John Boozman,101,37,2,62
Drew,Plantersville,U.S. Senate,,REP,Senator John Boozman,156,92,2,62
Drew,Selma,U.S. Senate,,REP,Senator John Boozman,166,92,1,73
Drew,Tillar,U.S. Senate,,REP,Senator John Boozman,39,7,0,32
Drew,Wilmar,U.S. Senate,,REP,Senator John Boozman,267,156,3,108
Drew,Winchester,U.S. Senate,,REP,Senator John Boozman,24,8,0,16
Drew,Ward 1,U.S. Senate,,DEM,Natalie James,303,190,3,110
Drew,Ward 2,U.S. Senate,,DEM,Natalie James,180,123,8,49
Drew,Ward 3,U.S. Senate,,DEM,Natalie James,229,158,7,64
Drew,Ward 4,U.S. Senate,,DEM,Natalie James,193,125,3,65
Drew,Collins,U.S. Senate,,DEM,Natalie James,14,10,3,1
Drew,Enon,U.S. Senate,,DEM,Natalie James,12,5,1,6
Drew,Jerome,U.S. Senate,,DEM,Natalie James,2,2,0,0
Drew,Lacey,U.S. Senate,,DEM,Natalie James,36,17,4,15
Drew,Mar N Box 1,U.S. Senate,,DEM,Natalie James,161,111,7,43
Drew,Mar N Box 2,U.S. Senate,,DEM,Natalie James,66,47,2,17
Drew,Marion South,U.S. Senate,,DEM,Natalie James,84,53,1,30
Drew,Ozment,U.S. Senate,,DEM,Natalie James,15,10,0,5
Drew,Plantersville,U.S. Senate,,DEM,Natalie James,29,22,1,6
Drew,Selma,U.S. Senate,,DEM,Natalie James,67,39,4,24
Drew,Tillar,U.S. Senate,,DEM,Natalie James,12,5,0,7
Drew,Wilmar,U.S. Senate,,DEM,Natalie James,158,49,4,105
Drew,Winchester,U.S. Senate,,DEM,Natalie James,71,35,0,36
Drew,Ward 1,U.S. Senate,,LIB,Kenneth Cates,7,4,0,3
Drew,Ward 2,U.S. Senate,,LIB,Kenneth Cates,14,9,1,4
Drew,Ward 3,U.S. Senate,,LIB,Kenneth Cates,22,11,0,11
Drew,Ward 4,U.S. Senate,,LIB,Kenneth Cates,13,7,0,6
Drew,Collins,U.S. Senate,,LIB,Kenneth Cates,2,2,0,0
Drew,Enon,U.S. Senate,,LIB,Kenneth Cates,0,0,0,0
Drew,Jerome,U.S. Senate,,LIB,Kenneth Cates,0,0,0,0
Drew,Lacey,U.S. Senate,,LIB,Kenneth Cates,2,2,0,0
