county,precinct,office,district,party,candidate,votes,early_vote,absentee,election_day
Mississippi,Trinity Baptist Church,U.S. Senate,,REP,Senator John Boozman,269,183,10,76
Mississippi,Miss Co Election Center,U.S. Senate,,REP,Senator John Boozman,995,792,14,189
Mississippi,Richard B Harrison Multipurpos,U.S. Senate,,REP,Senator John Boozman,102,77,1,24
Mississippi,Armorel Planting Company,U.S. Senate,,REP,Senator John Boozman,306,139,0,167
Mississippi,Gosnell Community Center,U.S. Senate,,REP,Senator John Boozman,514,288,3,223
Mississippi,Dell Community Center,U.S. Senate,,REP,Senator John Boozman,259,91,3,165
Mississippi,Leachville City Hall,U.S. Senate,,REP,Senator John Boozman,446,276,1,169
Mississippi,Manila Police Dept,U.S. Senate,,REP,Senator John Boozman,951,481,9,461
Mississippi,Charles Strong Center,U.S. Senate,,REP,Senator John Boozman,119,50,0,69
Mississippi,Osc Old Jr High Gym,U.S. Senate,,REP,Senator John Boozman,615,457,13,145
Mississippi,Keiser First Baptist Church,U.S. Senate,,REP,Senator John Boozman,175,33,0,142
Mississippi,Wilson Fire Station,U.S. Senate,,REP,Senator John Boozman,231,53,0,178
Mississippi,Joiner City Hall,U.S. Senate,,REP,Senator John Boozman,122,22,2,98
Mississippi,Birdsong Community Center,U.S. Senate,,REP,Senator John Boozman,52,14,0,38
Mississippi,Dyess City Hall,U.S. Senate,,REP,Senator John Boozman,103,15,1,87
Mississippi,Etowah Fire Station,U.S. Senate,,REP,Senator John Boozman,171,32,2,137
Mississippi,Trinity Baptist Church,U.S. Senate,,DEM,Natalie James,460,361,4,95
Mississippi,Miss Co Election Center,U.S. Senate,,DEM,Natalie James,510,373,12,125
Mississippi,Richard B Harrison Multipurpos,U.S. Senate,,DEM,Natalie James,445,330,10,105
Mississippi,Armorel Planting Company,U.S. Senate,,DEM,Natalie James,35,27,0,8
Mississippi,Gosnell Community Center,U.S. Senate,,DEM,Natalie James,133,76,3,54
Mississippi,Dell Community Center,U.S. Senate,,DEM,Natalie James,24,15,0,9
Mississippi,Leachville City Hall,U.S. Senate,,DEM,Natalie James,34,19,0,15
Mississippi,Manila Police Dept,U.S. Senate,,DEM,Natalie James,118,61,4,53
Mississippi,Charles Strong Center,U.S. Senate,,DEM,Natalie James,163,51,7,105
Mississippi,Osc Old Jr High Gym,U.S. Senate,,DEM,Natalie James,720,519,19,182
Mississippi,Keiser First Baptist Church,U.S. Senate,,DEM,Natalie James,31,8,0,23
Mississippi,Wilson Fire Station,U.S. Senate,,DEM,Natalie James,38,9,2,27
Mississippi,Joiner City Hall,U.S. Senate,,DEM,Natalie James,109,21,3,85
Mississippi,Birdsong Community Center,U.S. Senate,,DEM,Natalie James,31,0,1,30
Mississippi,Dyess City Hall,U.S. Senate,,DEM,Natalie James,11,0,0,11
Mississippi,Etowah Fire Station,U.S. Senate,,DEM,Natalie James,14,6,0,8
Mississippi,Trinity Baptist Church,U.S. Senate,,LIB,Kenneth Cates,23,17,0,6
Mississippi,Miss Co Election Center,U.S. Senate,,LIB,Kenneth Cates,27,21,0,6
Mississippi,Richard B Harrison Multipurpos,U.S. Senate,,LIB,Kenneth Cates,19,18,0,1
Mississippi,Armorel Planting Company,U.S. Senate,,LIB,Kenneth Cates,13,10,0,3
Mississippi,Gosnell Community Center,U.S. Senate,,LIB,Kenneth Cates,13,9,0,4
Mississippi,Dell Community Center,U.S. Senate,,LIB,Kenneth Cates,6,3,0,3
Mississippi,Leachville City Hall,U.S. Senate,,LIB,Kenneth Cates,13,6,0,7
Mississippi,Manila Police Dept,U.S. Senate,,LIB,Kenneth Cates,19,9,0,10
Mississippi,Charles Strong Center,U.S. Senate,,LIB,Kenneth Cates,10,3,0,7
Mississippi,Osc Old Jr High Gym,U.S. Senate,,LIB,Kenneth Cates,34,23,1,10
